SYNTAX	DESCRIPTION	CLASS	TYPE	GROUP	CATEGORY	KEYWORDS	TIO	DOCS
X≢Y	Not Match: ~X≡Y	Primitive	Dyadic Function		Sets	notmatch natch equalunderbarslash unequalunderbar notidentical differentfrom nonequivalent inequivalent unequivalent	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUk1Ir1BUedS4CstR11FOBuEKdCyppCJYwVDD8/x8A	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/not-match/
↓Y	Split: Nest sub-arrays (from last axis)	Primitive	Monadic Function		Structural	spike downarrow subarrays dimension	https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFIwVjBZNHvVse9W42MuF61DcVJPiobbICUMH//wA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/split/
↓Ym	Matrix to vector of row vectors	Primitive	Monadic Function		Structural	spike downarrow split lists from table into	https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FST0qG2yAlD6/38A	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/split/
Is↓Ym	Drop Is rows from matrix Ym	Primitive	Dyadic Function		Structural	dropping table delete remove without removing erasing erase eliminate eliminating deleting	https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjLhetQ3FSRkCJSYrABU8P8/AA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/drop/
Iv↓Y	Drop Iv items along leading axes of Y	Primitive	Dyadic Function		Selection	dropping spike downarrow split remove trim cut major cells rows elements dimensions delete start beginning without removing erasing erase eliminate eliminating deleting	https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjLhetQ3FSRkqHBovRFQcrICUNH//wA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/drop/
↑Y	Mix: Remove nesting (adding trailing axes)	Primitive	Monadic Function		Structural	pike uparrow axis dimensions delete drop ending without removing erasing erase eliminate eliminating deleting	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQetU1U0DBTMNFUMFUw/v8fAA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/mix/
↑Yv	Vector of row vectors to matrix	Primitive	Monadic Function		Structural	pike uparrow mix table from lists into VVtoMAT	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQetU1UUPfILFAHkvkF6v//AwA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/mix/
Is↑Yv	Padding Yv on the right to width Is	Primitive	Dyadic Function		Structural	extend right-align rightalign text string	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExRMFR61TVQwVjBUMOGCCh1ajyT4/z8A	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/take/
Is↑Ym	Take Is rows from matrix Ym	Primitive	Dyadic Function		Structural	taking table grab first last chop	https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSR0aL0RUGqiAlDJ//8A	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/take/
Iv↑Y	Take Iv items along leading axes of Y	Primitive	Dyadic Function		Selection	taking pike uparrow first last beginning trailing head tail major cells rows elements dimensions 1st start ending	https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSRkpHBovTFQcqICUNH//wA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/take/
